InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
75441,Ag679,Carry Year,12,2024-08-28,63.56,3,Mauritania
12954,jM027,Add For,46,2024-09-29,81.22,77,Timor-Leste
14007,Nm391,Friend Else,1,2024-03-24,99.27,29,Swaziland
61959,yN219,Page Hear,32,2025-07-09,23.75,8,Gibraltar
98788,yA688,Science Green,18,2025-01-13,70.08,91,Eritrea
34509,Sn278,Company Else,5,2024-06-06,69.78,37,Brazil
17491,bF447,Research Bank,17,2023-09-27,48.88,29,Andorra
39667,Fi822,Claim Value,36,2023-11-16,33.03,38,Armenia
22841,hp009,Apply Situation,45,2023-08-31,94.96,24,Marshall Islands
21905,ji543,Financial Certain,16,2024-11-20,71.02,70,Moldova
64844,WY859,We Myself,31,2023-12-06,57.43,49,Kazakhstan
32349,XD014,Serious Century,3,2025-06-24,90.09,72,Morocco
61768,dN537,Firm Attorney,17,2025-07-21,72.73,21,Kiribati
64978,bl863,Doctor Stock,31,2023-08-15,14.74,9,Mongolia
97554,pE668,Least Drug,18,2023-11-12,20.64,89,Philippines
35247,GA370,Difference Early,39,2024-12-26,43.92,45,Cocos (Keeling) Islands
45718,kk957,Owner Need,44,2024-04-10,59.62,76,Oman
99381,QR173,Last Talk,33,2024-04-02,7.79,44,Saint Barthelemy
86844,fr617,Address Material,12,2024-10-13,56.33,85,Haiti
76056,hP466,Pm Important,9,2025-07-12,2.96,55,Egypt
95425,Yv855,Allow You,23,2023-12-22,66.51,23,Togo
40688,so503,Station Write,49,2024-06-20,14.44,59,Russian Federation
24037,Lu713,Water Performance,19,2024-10-11,43.58,97,Western Sahara
73358,bq100,Own Which,14,2025-02-14,77.95,10,Bahamas
58152,cb916,Behavior Against,22,2024-05-19,22.75,71,Germany
39204,Vx116,Land Past,11,2023-12-08,67.9,91,Liberia
27298,Sp754,Knowledge Thought,11,2024-03-29,16.64,67,Croatia
47741,Zh918,Later Claim,28,2024-05-07,41.04,91,Malawi
55729,Cz210,Deal Away,36,2024-02-08,84.15,46,Korea
71183,Ag292,Page Board,30,2024-05-31,80.5,95,Aruba
69779,XG327,Make Bed,35,2024-11-11,93.29,29,Liechtenstein
15304,pr307,Either Word,41,2023-09-06,72.58,69,Ethiopia
68126,hk041,When Teacher,20,2023-11-24,96.67,5,Bosnia and Herzegovina
89558,Bf251,Thought Same,14,2024-01-15,13.7,9,Dominican Republic
33922,Vy362,Cup Full,43,2025-02-27,8.31,76,Hong Kong
81045,JN688,Arm Discover,6,2025-05-28,27.78,55,Singapore
71819,Le250,Agency Kid,35,2024-05-29,56.53,19,Serbia
43128,Jr489,Visit South,2,2024-04-24,4.04,3,Montserrat
90599,Qa647,Situation Story,27,2025-02-08,28.4,64,Bhutan
43311,hr202,Our Well,41,2025-04-10,27.51,96,Tajikistan
22411,El785,Reflect Network,16,2024-03-14,97.58,43,Togo
49419,VV461,Forget Here,29,2025-07-05,27.94,15,Niger
80706,Nt268,Ability Everything,49,2024-04-29,30.89,30,French Polynesia
83109,Cn788,Single Box,5,2025-06-14,26.15,88,Thailand
99145,dH206,Move Politics,3,2023-11-19,20.65,5,Hong Kong
80620,uj565,Radio Sport,30,2024-03-01,47.48,56,Angola
34923,nY135,Very First,39,2023-08-18,73.55,99,Israel
85855,Up981,Return Reason,3,2024-04-15,71.9,94,Comoros
78576,dP803,Election Option,35,2024-02-04,45.63,95,Ukraine
86367,DR080,Admit May,4,2024-03-21,85.55,51,Aruba
97537,WR815,Anyone Almost,13,2024-05-08,76.02,32,Mongolia
25857,Dc662,Trial Method,46,2024-10-09,88.86,66,Fiji
52057,dA394,Subject Environment,30,2025-06-05,86.29,84,Austria
33266,YC785,Pattern Street,49,2024-08-06,45.34,31,Palestinian Territory
67877,VM290,Almost A,42,2024-04-28,16.38,40,Nepal
43570,Nf271,Cold Rock,5,2025-05-07,77.73,50,Netherlands
92348,MA409,Moment Point,10,2024-01-05,16.9,84,Israel
80665,cb505,Game Shake,34,2023-09-25,67.3,88,Morocco
80662,Pn871,Anyone Effect,21,2025-05-19,47.95,10,Latvia
87447,so090,Table As,19,2024-10-07,54.09,31,Greenland
41173,YA369,Trip American,35,2025-06-15,12.98,46,United Arab Emirates
95355,kN993,Late Campaign,27,2023-10-02,56.99,92,Colombia
78929,jY785,Scene Feeling,2,2023-12-11,61.71,91,British Indian Ocean Territory (Chagos Archipelago)
26092,Ib593,Debate Garden,41,2024-11-01,2.48,68,Tajikistan
90208,Ge623,Set Debate,11,2024-11-18,24.34,27,Saint Pierre and Miquelon
72782,MQ604,Themselves Main,45,2025-07-15,31.47,19,Belarus
30687,cf027,Fish Financial,13,2024-04-12,52.18,75,Equatorial Guinea
57906,tQ446,Firm Those,1,2025-01-10,93.78,50,Zambia
40150,ky265,Artist Business,15,2024-07-04,50.73,6,Svalbard & Jan Mayen Islands
74552,DT276,Tree Father,3,2024-07-27,24.42,67,Barbados
83587,jI521,Live Effort,31,2024-01-07,44.14,79,Serbia
38936,tS248,Exist School,29,2025-02-26,40.85,79,Papua New Guinea
39711,VM889,Source Area,2,2023-11-09,83.95,33,Comoros
42037,xg446,Word Spend,40,2024-08-28,67.83,36,Lao People's Democratic Republic
43842,WO450,Describe Themselves,12,2023-11-09,39.41,39,Central African Republic
28895,kJ786,Stop Maybe,21,2024-08-22,67.67,80,Lesotho
48741,Qr756,Customer Subject,22,2023-09-24,1.77,87,Canada
66284,UU329,Seem Cost,14,2024-11-14,40.72,73,Malta
72388,vg763,Brother Parent,22,2025-02-19,73.08,55,Portugal
87607,WI487,Boy Discuss,46,2023-08-14,99.61,70,Sweden
84418,Eg521,House Country,23,2024-11-24,51.7,66,Mauritius
14889,bq648,Maybe Before,24,2025-05-01,11.0,10,Mayotte
72649,ig118,Again Sell,23,2023-10-26,35.33,89,Liberia
77665,YW678,Ago Throw,5,2024-04-24,46.8,81,Burkina Faso
59867,qT579,Food Artist,14,2023-10-20,40.53,89,Slovenia
90114,SI602,Current Try,33,2023-10-02,96.44,29,Holy See (Vatican City State)
22338,kW240,And Last,30,2024-02-13,76.98,56,Eritrea
19196,za442,Down Individual,12,2024-09-18,70.71,17,Korea
19514,za276,Teacher Fear,10,2025-03-08,8.43,38,Malta
36089,vz012,Like Sister,43,2024-06-30,13.32,46,Eritrea
94850,IP713,Kitchen Something,15,2024-02-09,1.12,94,Afghanistan
87127,Wd252,Evening Treatment,23,2024-07-18,71.16,26,Finland
44735,gf347,Learn Way,40,2023-08-23,48.05,37,Djibouti
23802,mQ018,Might Use,16,2025-05-02,36.3,23,Senegal
63510,DL524,Team Pick,3,2024-02-12,76.67,2,Indonesia
79465,Eb840,Today Message,12,2023-08-23,32.49,8,Sao Tome and Principe
74410,mu252,Meeting Anything,27,2024-06-22,98.87,57,Maldives
60648,Mm235,Risk Box,23,2023-12-28,90.14,43,Anguilla
15893,Zy358,Above Officer,25,2024-07-08,24.64,81,Zambia
29087,cV796,Approach Contain,18,2024-06-11,66.71,3,Iran
31388,jF073,Arrive Then,20,2025-06-19,21.33,22,Algeria
88828,IS486,Available Race,16,2024-07-23,37.45,42,Falkland Islands (Malvinas)
24745,jy785,Experience Of,37,2024-12-22,25.55,2,Oman
42038,YB153,Face Building,48,2024-07-21,15.25,24,Bahrain
96473,il976,Science Line,40,2023-12-21,23.08,10,Mongolia
98293,aj918,Shake New,44,2024-06-03,27.39,25,United States Minor Outlying Islands
62236,Rh067,Vote Bit,8,2024-09-08,93.64,67,Bouvet Island (Bouvetoya)
91677,Mr578,Particular Away,29,2024-03-05,29.8,3,Israel
20678,ab704,Truth See,20,2024-06-21,92.11,58,Switzerland
81616,wX980,Course Write,26,2024-05-02,11.6,18,Iraq
72965,Vm214,Fact Why,28,2023-11-19,39.18,96,Armenia
63369,SA125,Partner Pass,35,2024-12-02,85.11,17,Holy See (Vatican City State)
17463,VT552,This Sometimes,40,2024-03-24,52.12,71,Palau
51465,VQ774,Fall New,10,2025-07-29,80.85,17,Palestinian Territory
33808,wr091,Interesting Pay,2,2024-03-30,45.63,83,Hungary
61984,mC697,Mrs Alone,19,2024-04-19,22.73,69,Nauru
16365,kM211,Evening Else,13,2025-04-20,66.46,15,United Arab Emirates
30469,IN942,College Lawyer,21,2025-07-02,95.38,13,Pitcairn Islands
65802,GY203,Artist Worry,31,2024-09-01,88.31,91,Gabon
39669,Ra875,Itself Per,49,2024-04-04,60.27,67,Montserrat
49964,MW548,Space Thus,21,2025-04-29,45.66,23,Liechtenstein
99641,cz576,Anything Poor,1,2024-04-27,71.73,19,Palestinian Territory
88421,tc337,Message Each,4,2025-07-05,9.81,78,Brunei Darussalam
69480,ga806,Eight Recognize,42,2025-01-12,17.31,94,Lesotho
78703,Qt620,Tend Then,30,2024-05-13,32.53,63,United States Minor Outlying Islands
76624,wp570,Spend Expect,28,2023-09-24,50.17,81,Zimbabwe
77075,Gm742,All Their,11,2025-01-05,56.88,44,Bosnia and Herzegovina
35964,LV783,Three Level,14,2024-04-12,88.46,90,Montenegro
58976,TO662,Only Whatever,24,2024-05-06,30.74,48,Czech Republic
76437,YL114,His Five,22,2024-08-22,16.35,47,Guyana
50748,cE386,Church Science,23,2024-07-05,79.01,79,Guernsey
78666,MC264,Technology Business,6,2023-11-14,74.21,98,Bulgaria
42717,gW746,Us Movie,23,2024-12-31,16.89,89,Christmas Island
30381,aD290,Though Information,28,2024-09-13,42.31,48,Saint Pierre and Miquelon
13184,jU472,Occur Reason,38,2025-02-13,70.07,24,Vietnam
53852,EV087,Somebody Audience,23,2023-10-29,12.88,84,United States Minor Outlying Islands
31837,eP201,White Certainly,25,2024-11-22,36.54,12,Norfolk Island
61955,NJ942,Join History,23,2025-06-06,35.53,74,Argentina
75963,lP172,Police Become,24,2025-04-04,66.2,28,Montserrat
32033,nI498,Cold Media,24,2025-05-16,32.91,21,Kyrgyz Republic
43157,PG566,Within Their,1,2024-04-11,97.68,46,Belize
92656,Wy529,Dream Election,46,2025-06-02,18.09,12,Marshall Islands
56445,zJ812,Shoulder Carry,9,2023-09-25,92.22,31,Uzbekistan
11461,Hb939,Break Home,20,2024-04-12,4.79,63,Lao People's Democratic Republic
18234,tC717,Act Hundred,47,2024-04-06,33.67,50,Niger
76336,xM220,Coach Letter,35,2023-10-01,28.65,2,Korea
48801,JF441,Art Skin,30,2024-09-02,20.6,57,Grenada
34856,qc833,Ask Why,8,2023-09-25,25.16,73,Central African Republic
93582,bS371,Side Rock,6,2023-10-29,9.29,14,Gambia
91276,qj332,From Per,34,2024-05-10,74.4,11,Netherlands Antilles
92006,EX966,Test Face,49,2025-03-23,30.36,93,Egypt
76831,HD739,Read Able,25,2023-09-05,95.85,23,Mexico
50076,bB278,Get Behavior,23,2024-05-03,19.88,75,Moldova
90326,PW707,Enough Turn,2,2024-01-02,56.14,7,Saint Helena
42535,Uz548,Economy Professor,35,2025-03-03,79.75,77,Turkmenistan
90153,LO165,Site Child,11,2025-07-10,28.26,37,Sudan
80372,Hq422,Few Consider,22,2023-12-30,83.7,45,Algeria
36414,Sn557,Pm Here,19,2024-12-09,29.53,87,Niger
44430,Ey489,What Effect,28,2025-03-08,21.63,64,Tokelau
29490,nM688,Style However,8,2024-10-28,31.77,17,Cameroon
66053,yD411,Professional Answer,37,2024-07-19,88.47,30,Greece
91738,lq104,First Keep,5,2024-10-30,64.84,26,Falkland Islands (Malvinas)
32941,Ox744,Quality Measure,1,2025-03-15,6.47,60,Guatemala
47612,Vk598,Herself Military,40,2024-07-21,70.23,69,Zambia
30610,oY617,Mission Always,13,2023-08-23,56.98,60,Netherlands Antilles
50393,qc337,Night Control,34,2025-05-20,50.8,87,Sierra Leone
37876,ut738,Important Open,34,2024-07-10,25.96,64,United States Virgin Islands
72364,iW542,Cause Debate,24,2024-09-16,87.78,87,Qatar
14421,bz017,Member Race,2,2025-01-15,8.34,84,Gambia
47211,ay877,Debate Dream,29,2023-10-06,60.03,38,Kazakhstan
58508,oA316,Natural Mind,19,2023-10-25,1.1,87,Tokelau
32627,Vo999,Ready Watch,4,2024-05-09,61.23,95,Mexico
95173,sC246,No Second,48,2024-10-04,53.21,18,Falkland Islands (Malvinas)
58351,yS485,Speech When,4,2024-08-01,2.69,74,Egypt
41897,zf370,Bed Role,20,2025-02-09,46.63,9,Peru
48337,tX970,Son Past,43,2023-11-16,3.32,99,Lesotho
84997,cq911,Unit His,23,2024-05-27,17.2,83,Tunisia
14293,ka822,Mention Research,4,2024-02-28,78.37,65,Dominican Republic
77378,dg278,Task Change,39,2024-12-21,34.49,12,Suriname
44479,nF190,Face Loss,11,2024-03-16,8.88,46,Spain
69033,CF840,Game Exist,41,2024-05-29,88.26,31,Chile
98487,ME983,Else Sound,18,2025-08-11,19.09,21,Liberia
88537,uv951,Others Them,25,2023-12-23,67.38,3,Chile
32135,NJ039,Free Behavior,46,2025-06-12,55.04,15,Afghanistan
26075,Ur593,Tv Situation,7,2025-01-28,18.08,20,Haiti
58844,ig378,Important Among,27,2023-08-27,43.22,93,Andorra
41684,bw121,Place Investment,28,2024-09-20,53.14,7,Algeria
99558,Cg376,Hundred Raise,13,2024-04-20,78.08,100,Mozambique
46833,va390,List Party,13,2024-02-23,70.01,77,Bouvet Island (Bouvetoya)
44039,ya113,Offer Main,32,2024-10-28,67.57,9,New Zealand
57358,TQ178,Sell Both,26,2025-01-26,99.94,79,United States Virgin Islands
27824,zc438,Event War,37,2023-10-08,29.53,19,Mozambique
59500,Vi456,Theory My,17,2024-02-18,26.93,27,Bosnia and Herzegovina
83849,FQ375,Free Series,42,2025-06-08,85.24,98,Fiji
40264,kq549,Policy Capital,1,2024-09-10,39.1,51,Georgia
98369,vG035,Role Thousand,7,2024-05-02,26.68,35,Bulgaria
27252,HC656,Project Laugh,47,2024-08-18,16.96,97,Iceland
24092,LQ394,Enjoy Hotel,40,2024-12-19,39.92,8,Korea
52711,Yu364,Site Media,47,2024-06-22,91.85,72,Honduras
55737,OE125,Hear And,28,2025-05-15,54.62,56,Russian Federation
67231,Fb161,Rock Late,24,2024-04-16,81.7,92,San Marino
65757,gl968,Poor Writer,18,2024-07-04,85.6,7,Marshall Islands
54182,mZ015,Expect Well,45,2023-08-30,16.13,41,Peru
14134,St706,Blue Pm,5,2025-01-16,85.29,6,Gibraltar
18527,Zk665,Different Area,10,2025-03-30,96.63,55,Chile
33463,lz609,Ever Education,18,2023-12-29,81.8,11,Switzerland
13561,dR031,Herself President,22,2024-05-07,41.54,46,Montserrat
43072,xk014,Which Each,44,2024-01-15,38.06,10,Martinique
90902,Nz359,Moment One,47,2024-06-11,21.98,37,Iraq
44770,Ko876,Chance Federal,13,2025-06-27,6.18,74,Gibraltar
85765,qd900,Pick Evening,7,2024-11-05,47.86,58,Norway
93934,nd682,Modern Herself,37,2023-12-25,41.2,81,Bermuda
83033,qe258,Begin Would,4,2025-04-20,29.87,89,Saint Martin
24993,qA328,Attack Idea,44,2025-07-03,97.46,35,El Salvador
70230,CM439,Partner Everybody,41,2024-01-25,88.04,82,Serbia
47583,SB516,Before Beautiful,8,2024-09-29,7.02,4,Nepal
69628,oZ066,Summer Affect,21,2024-02-02,74.96,52,Kiribati
66306,CT333,Kid Mean,19,2025-01-15,93.29,98,Colombia
27855,kE754,Fish Rather,37,2024-05-30,51.82,16,Uruguay
16769,fQ796,Piece Money,25,2024-12-27,69.17,43,Bulgaria
43954,jA890,Theory Project,8,2024-08-05,12.42,61,Nauru
88967,Jh542,Detail Skin,20,2024-02-01,52.98,42,Greece
72001,MC293,Night Old,15,2024-11-24,13.06,71,Kazakhstan
80042,eo331,Audience Stock,13,2025-05-27,56.68,91,Afghanistan
72626,cw843,Collection Stand,12,2024-05-29,79.27,69,Greenland
33276,hm688,Before Another,23,2025-01-25,76.05,93,Isle of Man
45054,yl568,Technology Notice,9,2025-07-13,4.07,71,Singapore
63388,oX264,Or Special,38,2024-01-19,91.45,28,Monaco
97822,bV302,Them Support,31,2025-06-17,22.34,34,Thailand
41808,ID027,Girl Everyone,42,2023-09-02,7.48,61,Bermuda
70949,UW419,None According,7,2024-01-27,62.14,1,Romania
83993,lT823,Through Machine,11,2024-03-23,59.73,52,Martinique
36225,va869,Occur Shoulder,12,2025-05-26,73.54,57,Burkina Faso
94935,yc187,Of Agent,2,2025-04-03,75.23,8,Kyrgyz Republic
96095,bj394,Cell Use,45,2024-07-10,11.11,91,Burundi
67910,ne951,Walk Its,29,2025-02-16,8.91,94,Guam
50920,dj630,Step Inside,34,2025-05-23,11.38,77,Afghanistan
72461,uW987,Here Four,34,2025-05-15,10.25,95,Sao Tome and Principe
48726,Kp247,Knowledge Left,20,2025-06-26,43.89,62,Namibia
16476,nb847,Author Have,11,2025-02-22,54.03,49,Saint Barthelemy
42599,AH633,Public Allow,29,2025-06-10,34.67,24,Western Sahara
61875,Ma409,Human Continue,44,2023-11-26,17.53,95,Denmark
19201,xl455,Art Your,21,2024-12-22,95.47,87,Latvia
58872,bc335,Do Else,45,2024-06-03,94.47,46,Poland
55406,Cv029,Will Dream,7,2025-07-25,28.61,47,Israel
81206,Vc769,Thus Them,5,2025-02-21,50.17,34,Saint Lucia
26197,EF881,Own Somebody,5,2023-08-27,53.76,27,Yemen
98765,US670,Good Responsibility,13,2024-03-03,26.71,18,France
87954,zL328,Spend Image,36,2023-10-27,23.74,1,Iceland
23407,mf546,President Clearly,32,2025-04-18,72.89,53,Thailand
25911,yp993,Doctor Might,34,2024-06-26,46.87,67,Puerto Rico
34522,YV736,Range Enjoy,14,2024-10-02,3.31,59,Palau
10883,LD978,Behind Cold,2,2024-12-26,50.21,73,Afghanistan
58858,Hv516,Yard Worker,15,2025-02-08,74.14,90,United States of America
64027,bu628,Under Floor,33,2024-10-18,57.85,63,Zimbabwe
98706,Jq163,Whether Produce,41,2025-04-05,81.86,52,Niger
85640,yR011,Scene Spend,43,2024-07-08,12.29,47,Lesotho
56595,yu487,Chance Perhaps,40,2023-11-29,76.36,37,Turkmenistan
60078,BR408,Old Heart,31,2025-03-17,11.0,16,France
14258,ob652,Drive Employee,29,2024-05-25,83.37,65,Tunisia
27644,LH108,Late Sometimes,39,2024-09-08,91.12,57,Togo
72375,RI863,Foot Only,25,2025-04-18,33.06,90,Tajikistan
89725,JN249,Through Move,36,2024-10-16,71.47,61,Guam
57468,Vj502,Meet Question,43,2024-07-20,61.57,96,Belize
74847,fN711,Should Onto,3,2024-09-24,86.12,40,Venezuela
43668,Uh069,Develop Personal,14,2023-12-21,4.98,18,Ethiopia
14806,PH830,Shoulder Than,31,2024-03-20,7.87,69,Guernsey
93543,ev779,Though Indeed,17,2024-06-05,29.1,58,Angola
61591,DT925,Their Focus,14,2024-02-21,34.52,88,Puerto Rico
48135,yJ540,Stand After,14,2024-02-22,10.16,79,South Africa
48807,Cc263,Generation Decide,29,2023-10-16,48.07,40,Morocco
80329,rO989,Spring Where,43,2023-10-29,31.51,91,Chile
48077,wn466,Significant Why,2,2024-10-03,23.42,63,Mongolia
68871,Ka706,Bed Hospital,33,2025-07-05,34.84,33,Holy See (Vatican City State)
78389,Nw828,True Subject,23,2024-04-06,11.83,27,Benin
19007,XT988,Cell Bar,20,2025-07-14,26.75,56,Marshall Islands
22613,Jo188,Middle Now,27,2024-05-19,13.72,53,Liechtenstein
18771,VE462,Old Likely,4,2024-05-12,28.54,4,Mali
37176,eq405,Know The,9,2023-08-31,84.62,58,Zimbabwe
41746,VJ679,Case Sister,43,2024-04-03,89.2,19,Sweden
83168,CP206,Director Else,14,2025-04-28,92.3,87,Guyana
71871,VH047,Game Serious,49,2025-06-15,9.4,54,Paraguay
43185,Af087,Individual Everything,45,2024-07-05,26.41,14,Bosnia and Herzegovina
78199,ZQ992,Deep System,20,2024-01-29,83.85,51,Trinidad and Tobago
68462,Ci366,College Public,33,2025-05-21,38.44,51,Canada
80838,Lf732,Later Wind,39,2024-08-25,38.78,43,India
69662,pB070,May Industry,19,2025-01-15,69.36,33,Uruguay
13075,Os361,Foreign Possible,26,2024-07-22,10.25,31,Montserrat
98182,Ui688,Sometimes Book,44,2025-07-14,63.17,59,Saint Pierre and Miquelon
56010,GX453,Size Television,47,2025-02-13,94.72,60,Kenya
16196,uB857,What Within,38,2023-09-29,6.46,70,Israel
28036,Sz105,Child Visit,10,2024-08-28,6.29,33,Pitcairn Islands
87573,ZB031,Blood People,13,2024-08-23,28.05,80,Comoros
90254,gW196,Capital Term,30,2024-01-30,37.37,12,French Southern Territories
82748,QZ667,Sea Total,1,2024-05-23,57.07,61,Western Sahara
85852,Fe205,New Plan,41,2024-06-15,69.59,74,Malaysia
89503,BL462,Every Let,41,2024-07-24,85.91,69,American Samoa
20770,if462,Bill Play,38,2025-05-26,74.07,28,Latvia
73828,At298,Night Protect,42,2024-09-12,68.61,4,Vietnam
53531,hm574,Few Reveal,27,2024-04-12,51.39,37,American Samoa
56735,Py119,Read Down,5,2024-06-24,36.32,78,Tonga
58377,ac610,Same Worry,15,2025-07-09,20.21,37,Austria
89408,os425,Week Quickly,46,2023-09-17,27.93,32,Syrian Arab Republic
14489,pI487,Kid May,14,2025-05-31,10.67,4,Angola
11131,ew715,Nice Per,17,2025-04-15,85.04,36,Congo
84978,dv697,Sort Station,16,2024-11-14,77.55,97,Taiwan
53894,TW285,Party Determine,34,2023-12-27,21.68,41,Japan
22297,mr654,Probably Writer,24,2023-08-12,70.11,100,Peru
33355,eD797,Listen National,7,2024-07-03,74.35,80,Guernsey
69062,Ae957,Character Everyone,45,2025-04-19,18.62,62,Hungary
20975,id794,President Available,8,2025-05-07,21.63,52,Brazil
93160,ra299,Check Four,2,2024-07-12,73.07,57,Fiji
29722,lq623,Full Through,42,2025-05-18,4.84,72,Aruba
79716,el412,Seek Party,28,2023-08-19,17.41,40,Panama
12225,cQ999,Mission Never,23,2025-03-24,40.94,92,Chile
95472,qp420,Industry On,33,2024-05-22,80.38,22,Venezuela
57962,Ke610,Director Happen,9,2024-02-26,40.89,5,Brazil
80084,VB793,Hundred Great,12,2025-03-11,59.64,76,Svalbard & Jan Mayen Islands
90120,pE719,Magazine Tonight,3,2024-09-19,94.87,95,Netherlands
74330,AH828,Light Church,24,2023-12-08,53.74,47,Thailand
24536,jH482,Cover Instead,23,2025-03-17,49.87,100,Singapore
41416,Ea155,Sell Personal,47,2023-09-05,57.95,1,Christmas Island
16824,dr939,Be Very,22,2025-04-28,62.81,89,Cambodia
19478,LI146,Garden Industry,19,2024-06-23,66.56,69,Martinique
41260,xo769,Food Easy,31,2025-05-26,92.94,83,Turkmenistan
64823,Be592,Perform Ready,1,2023-08-21,96.79,66,China
60873,vD218,Begin Process,37,2025-06-15,88.55,39,Malawi
97700,Zh344,My Actually,28,2023-08-18,47.2,41,Luxembourg
78918,YK495,Court World,4,2024-01-09,39.52,45,Tunisia
30978,UT115,Everybody Whether,7,2024-06-07,31.14,70,San Marino
92531,Om548,Those Individual,40,2024-02-27,71.28,86,Jersey
36013,zL809,Social Find,14,2025-05-11,8.28,14,Greece
93853,qw186,Number Stage,20,2024-01-16,46.84,91,Estonia
61567,Up339,Step Learn,40,2024-12-11,72.51,3,Algeria
