InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
67732,Za222,Rest Against,16,2024-09-08,44.51,14,United Arab Emirates
74583,rJ630,Want Same,12,2024-05-04,91.38,21,Anguilla
27143,Qf075,Stay Seem,46,2025-05-09,69.1,61,Senegal
52801,Yq927,Choice New,49,2025-06-14,64.83,74,Algeria
59366,LU095,Measure Plan,13,2025-06-26,56.71,69,Mongolia
24415,nB815,Professor I,22,2023-09-24,42.09,91,Falkland Islands (Malvinas)
27436,nL276,Discussion Affect,34,2024-06-11,19.49,63,Cook Islands
64844,Eh065,Bank Model,40,2024-08-09,35.75,13,Russian Federation
11152,jR392,Call History,23,2024-07-25,97.94,27,Bahrain
85934,Xi426,Network Happen,6,2024-04-19,96.75,31,Wallis and Futuna
64901,xD079,School Away,28,2023-12-05,8.52,84,Venezuela
59857,QH140,Money Contain,22,2025-01-09,47.81,85,Moldova
72327,rk416,Media Still,14,2025-07-10,15.27,85,Saint Barthelemy
20236,gJ812,She Executive,9,2025-01-21,95.41,69,Sierra Leone
40905,WJ431,What Letter,27,2024-04-22,13.36,44,Guam
69018,PR518,Check Wrong,31,2024-11-17,36.38,69,Mongolia
78737,pB502,Upon Explain,24,2025-05-24,62.53,66,South Africa
97252,mr574,Pattern Base,17,2024-01-14,75.14,78,Dominican Republic
65058,ao015,Speech Wife,23,2025-07-12,57.44,85,Bhutan
95519,wp130,Pay Third,37,2024-11-04,90.05,34,Swaziland
16920,dm410,Defense Thousand,10,2025-01-30,43.35,24,South Georgia and the South Sandwich Islands
86735,hN629,Set Team,13,2023-09-24,49.91,49,Seychelles
87969,ZF456,Idea School,4,2024-03-25,64.48,51,Lebanon
96490,RB165,Spend Bar,18,2025-06-07,67.5,70,Sierra Leone
41540,KI954,Here These,32,2024-10-12,31.34,83,Canada
61211,yg097,Prove Whole,14,2024-06-12,46.95,85,Mali
97640,su178,Avoid While,25,2023-10-11,51.38,17,Qatar
98891,Bg210,Serve End,18,2024-12-18,54.74,63,Benin
84894,Ym234,Dog Concern,23,2024-08-07,67.38,28,Austria
74798,Ls622,View Agency,22,2023-12-25,94.68,5,Poland
13636,LI874,Appear Rise,40,2025-06-01,23.2,30,Bahamas
52786,su046,Meeting Those,23,2025-03-19,38.14,2,Austria
81594,vI856,Environmental Environmental,10,2025-04-30,90.35,62,Romania
62936,NE849,Administration Movement,39,2024-06-16,90.92,17,Croatia
21447,eC734,Two Evening,16,2023-08-17,7.99,74,Haiti
72555,yb347,Night Teach,3,2024-05-15,4.46,25,Costa Rica
88975,bh848,Hundred Cup,13,2025-03-21,86.8,21,Dominican Republic
55248,Su686,Address Want,39,2023-12-20,18.43,55,Maldives
75405,qq592,Line Medical,31,2024-09-24,99.55,20,Iran
84433,Pn042,Close Suffer,46,2024-05-06,56.84,40,Gambia
88056,VJ977,Hundred Great,4,2024-09-19,47.14,96,Reunion
13412,Yu834,These Her,48,2025-06-01,10.09,73,Hong Kong
74379,jH401,Pm Continue,45,2025-07-12,91.11,82,Cook Islands
93430,SL121,Drive Go,36,2025-07-20,97.88,89,Faroe Islands
66406,SI156,Language Assume,26,2024-12-16,69.7,71,British Indian Ocean Territory (Chagos Archipelago)
84971,BD489,Purpose Though,28,2025-07-16,47.11,5,Andorra
11143,wK910,Not As,24,2023-08-31,9.41,43,Monaco
52281,fW981,Next In,7,2024-02-19,38.15,37,Seychelles
49067,nR249,List Behavior,14,2023-12-06,67.19,81,Northern Mariana Islands
97475,BJ354,Eye Talk,26,2024-09-09,3.23,82,Sierra Leone
25308,zJ875,Thought Not,20,2025-08-05,29.24,13,Egypt
17297,eq245,Work Now,24,2025-06-03,26.9,13,Uruguay
27593,OV296,Poor Example,18,2025-04-22,12.88,74,Montserrat
17559,vu453,Event Would,13,2025-05-07,59.15,66,Cape Verde
34787,zo335,Process Hold,43,2024-11-20,43.3,23,Iran
69200,zI962,Culture Team,36,2023-10-11,10.57,14,Italy
37412,bn181,Fill Top,14,2023-11-06,30.22,84,San Marino
55171,KH168,Environmental Treat,20,2023-11-21,85.54,89,Tokelau
22349,AO869,Party Generation,21,2025-05-17,53.89,9,Bosnia and Herzegovina
12820,dF711,Leave Leave,33,2024-09-28,54.93,47,Christmas Island
17877,tl855,Pay Save,2,2024-08-31,5.79,99,Andorra
99984,Tn630,Traditional Financial,13,2023-12-03,92.64,60,Belize
78339,Cv659,Behind Prove,38,2024-12-04,76.97,13,Isle of Man
47999,To007,Institution Career,5,2025-06-17,74.35,50,United Kingdom
65104,xU450,Party Executive,36,2023-09-23,59.49,77,Netherlands
22315,vG910,Find Sometimes,35,2023-11-08,37.47,39,Niger
57901,Uv464,Worry No,31,2024-12-15,64.02,82,Christmas Island
48431,ij660,Before Step,1,2024-12-11,52.33,12,Finland
53560,fe768,Whatever Commercial,14,2024-01-16,63.9,77,Syrian Arab Republic
69588,ky919,Ground Reason,17,2025-08-01,47.34,68,Israel
80264,TG140,Action Take,31,2024-04-01,48.02,59,Sweden
98909,Ou202,Marriage Before,2,2024-08-24,45.79,59,Reunion
32890,bw065,Wide Unit,20,2024-04-11,67.97,91,Tuvalu
20740,nm137,Arrive Easy,34,2023-09-03,30.17,88,Grenada
82794,OI577,Anyone Plan,29,2024-09-07,83.64,28,Saint Helena
13198,Ek969,Structure Even,20,2024-07-24,50.39,98,Bolivia
78484,mp544,Site Fight,15,2023-12-05,78.72,97,Cambodia
74364,ck873,Ball Expect,46,2024-06-19,15.07,55,French Guiana
19062,OG716,Operation Politics,37,2025-04-24,17.09,5,British Indian Ocean Territory (Chagos Archipelago)
62427,el275,Official Difficult,15,2024-06-30,88.42,34,Eritrea
79303,vi675,Line Two,11,2025-03-12,75.1,95,Bhutan
65672,Sr321,Technology Half,24,2025-04-05,75.46,81,Austria
47108,JG162,Minute Physical,10,2023-10-10,21.4,78,Myanmar
84451,yp120,Purpose Question,34,2024-04-24,31.3,49,Solomon Islands
59901,xB306,Respond Mouth,10,2023-11-30,69.84,37,Aruba
51834,tG629,Include Common,3,2024-01-08,82.79,44,Zambia
95776,Iq782,Difficult Center,47,2024-08-17,78.84,4,Iran
32999,DY615,My Provide,29,2024-03-15,71.75,25,Georgia
90514,gZ379,Science Realize,13,2024-09-21,74.1,84,Venezuela
96172,YW945,Congress Music,27,2024-08-30,54.48,18,Palestinian Territory
62570,QW801,Assume Major,5,2024-03-16,37.07,21,Belize
60199,he908,Nation Improve,45,2024-04-27,2.33,27,Slovakia (Slovak Republic)
52513,cc867,Way Feel,4,2024-03-27,33.62,22,Bosnia and Herzegovina
47492,om768,Civil Professional,16,2024-04-15,76.63,29,Hong Kong
39940,zP812,Poor Many,23,2025-02-17,74.07,90,American Samoa
13841,Tp726,Mother On,49,2024-11-23,5.38,37,Jersey
22473,YB664,Answer Run,48,2024-02-07,6.25,76,United Kingdom
63558,ay685,Sister Or,43,2024-03-17,88.97,17,Libyan Arab Jamahiriya
17921,hr199,Tough Benefit,45,2024-03-29,24.57,7,Chad
77840,ip983,Wife Avoid,8,2025-05-23,3.43,91,Armenia
80511,XD896,Look Dark,21,2025-05-21,3.81,16,Denmark
24460,mG246,Least Bank,13,2024-01-15,14.88,27,Seychelles
63520,wg933,Her Voice,34,2024-03-10,33.87,12,Monaco
21207,qD090,Care Teach,3,2024-01-03,55.4,26,French Southern Territories
76585,nY132,Other Economic,31,2024-09-02,35.61,95,Taiwan
40256,gi033,Player Answer,30,2024-02-21,6.74,19,Saint Barthelemy
48638,gd412,Situation Night,46,2024-07-19,24.66,61,Albania
91943,EZ226,Media Hotel,30,2024-10-08,91.5,72,Philippines
86233,vb841,Admit Course,43,2024-03-15,98.35,22,Saint Barthelemy
91961,Ze767,The Visit,21,2023-12-25,82.94,34,Tajikistan
81005,Qj530,Explain Much,23,2023-08-27,86.47,30,Azerbaijan
73901,ox803,Sound Relate,11,2024-11-16,15.07,31,Moldova
57438,ER239,East Listen,19,2024-06-07,50.89,81,Congo
51241,jW018,Despite Work,24,2024-01-16,85.07,12,France
59650,Fj166,Experience His,28,2024-04-02,24.31,76,Palau
18205,kf540,Back Least,11,2024-08-17,51.3,23,Austria
98478,Po810,Size Within,33,2025-07-30,89.07,27,Haiti
49820,tE130,Or Glass,37,2025-07-02,10.17,73,Iraq
33962,TI150,Store Mind,33,2025-03-31,78.84,60,Sudan
63863,CX099,Small Upon,9,2024-10-06,94.05,3,Canada
60370,fD717,Likely Well,22,2025-03-18,94.45,44,Montserrat
69801,DE936,A Agent,13,2024-08-01,94.73,52,Papua New Guinea
70510,kQ930,Meet Thank,28,2023-12-19,49.75,51,Panama
10715,MD965,Likely Drop,8,2023-08-16,66.29,65,India
73917,IL484,Stuff Sing,8,2025-08-01,5.27,40,Cameroon
11850,Kp734,Behavior Guy,19,2025-01-10,85.08,55,Bulgaria
45813,lw613,Teach Standard,5,2024-02-23,32.93,24,United States Virgin Islands
82976,Ep575,Play Simply,24,2025-07-24,68.57,33,Vanuatu
72378,AT627,Campaign Congress,30,2024-09-25,37.88,50,Zambia
21340,If056,Seat So,9,2024-03-14,23.5,99,Greece
47307,xE288,Guess Give,15,2024-10-19,64.92,11,Belgium
67449,pV303,Thank Animal,14,2023-09-16,10.23,74,Lao People's Democratic Republic
22185,OT261,World Thank,40,2023-12-27,44.29,47,French Guiana
88752,pD649,Lead Social,8,2024-07-25,76.43,91,Maldives
25320,Ay491,Cup Focus,43,2023-12-20,65.36,15,Niger
85036,Dy710,Town Degree,14,2024-07-26,83.77,49,Mozambique
25477,Dh233,Majority Everyone,43,2023-10-01,48.31,3,Burundi
10208,do078,Account Hear,11,2024-11-29,63.34,93,Sao Tome and Principe
34453,gQ968,Sense Stage,9,2025-06-28,58.89,20,Korea
38716,AZ586,Might This,10,2024-10-22,28.99,51,South Africa
52305,oY991,Partner Cut,4,2024-04-21,58.56,61,Mayotte
68960,Ej120,Care Not,22,2024-06-02,72.98,62,Saint Martin
37434,bY737,Popular Land,35,2024-08-25,40.94,74,Guam
43469,nr722,Early Sometimes,11,2024-01-20,66.44,72,Latvia
16318,qL828,North War,38,2024-07-07,84.19,49,Marshall Islands
78107,eo594,Official Baby,7,2025-04-01,57.08,37,Korea
19282,bX059,Play Significant,14,2023-10-09,82.3,67,Algeria
99805,tQ953,Expect Picture,41,2025-04-22,3.52,50,Kyrgyz Republic
63146,Qb162,Its Customer,39,2025-01-26,4.11,12,French Southern Territories
91730,Nu876,Prevent Design,32,2024-01-25,9.76,94,Slovakia (Slovak Republic)
97881,ar192,Discuss She,38,2024-12-31,47.34,23,Namibia
38452,ti056,Well Data,43,2024-07-13,39.47,70,Albania
71913,GX291,Everyone Organization,35,2024-10-24,26.22,85,Russian Federation
52203,SZ926,Which Fine,34,2025-03-19,29.46,50,Somalia
93585,Oe687,Research Huge,28,2024-05-01,99.14,7,Turkey
78439,Yp253,Deep Well,18,2025-07-24,31.59,30,Ukraine
98461,JH663,After Type,5,2024-07-23,50.36,45,Western Sahara
99051,jU216,Arm Protect,23,2023-10-29,25.04,17,Mayotte
78035,iE359,How Movement,39,2025-06-28,73.46,86,Singapore
42710,vI148,Gas In,31,2024-03-06,50.76,49,Bahrain
55097,Wx980,Stuff Company,24,2024-03-12,96.51,97,Nicaragua
98554,Ke009,Last Include,27,2024-10-06,89.2,46,Dominica
46734,xz146,Up Article,10,2025-04-30,21.54,18,Fiji
51072,eB930,Back Front,3,2025-03-14,50.59,51,Kenya
18230,Ax282,Close Sport,17,2025-03-06,81.19,37,Sudan
80885,pD659,Thought Money,4,2023-10-25,81.34,34,Guatemala
37879,rC410,Half Help,49,2024-07-19,57.98,52,Azerbaijan
27885,xY946,Industry Hope,34,2024-01-27,44.39,65,Italy
80907,ss190,Door Improve,1,2024-06-20,15.99,6,Tuvalu
57942,Ub160,Hand Economy,27,2023-12-12,77.26,28,Greenland
45226,PN719,Listen Contain,47,2024-03-19,82.98,98,Anguilla
38617,ei769,Son West,28,2024-04-01,87.34,70,Northern Mariana Islands
95239,yw831,Find Happen,2,2024-01-08,94.25,55,Djibouti
98087,BV925,Garden Board,18,2025-05-28,85.56,88,Poland
49129,nS369,Cell Stuff,6,2024-06-28,14.59,41,Uzbekistan
97463,gq785,Standard Contain,15,2025-02-24,94.0,82,Uzbekistan
24043,Bf687,Contain Success,33,2024-09-25,46.83,24,Benin
58205,Td884,Away Bank,38,2023-08-19,7.38,7,Slovenia
53235,Eq858,Need Alone,45,2023-09-06,29.48,50,Central African Republic
40016,ha867,President Audience,40,2025-02-04,97.74,45,Cambodia
34917,RH238,Loss Develop,14,2025-08-08,10.73,17,Nepal
63869,mD351,Use View,47,2025-07-14,35.82,96,Timor-Leste
19167,TL020,Quickly Teacher,2,2024-03-24,74.77,6,Australia
32386,Ax298,Concern Eat,12,2023-08-13,25.71,6,French Guiana
50753,Xe530,Occur Hard,18,2024-07-14,36.75,70,Libyan Arab Jamahiriya
64789,Ia257,Community Seven,34,2023-09-29,34.07,8,North Macedonia
52366,Jj558,Spring Happen,3,2024-02-17,82.59,35,Anguilla
96825,Sn941,Mention Quickly,20,2024-01-19,69.09,28,Western Sahara
39982,TD623,Area Soon,21,2024-08-29,31.08,54,Sierra Leone
49021,fH080,Find Behind,40,2025-04-11,79.68,22,Norway
94246,wu807,World Specific,13,2024-06-12,49.4,55,Haiti
85187,Pz345,Politics Student,4,2025-02-22,3.4,34,Nigeria
16503,oY033,Control Name,46,2025-01-27,5.68,42,Philippines
75209,wP805,Prepare Network,16,2024-05-01,30.4,12,Moldova
90356,go239,Finally Recently,16,2023-10-24,60.82,22,Liberia
58327,uG064,Space Stage,45,2024-12-23,22.46,30,Chile
29707,EG889,Dream Already,32,2024-02-25,61.71,94,Mauritius
18705,HZ844,Yourself Consumer,4,2024-11-01,4.07,27,San Marino
91137,bs829,Interesting Reality,27,2025-05-09,92.21,9,Tokelau
53077,iE791,Worker Yeah,17,2024-03-03,43.35,42,British Virgin Islands
64938,Ts279,Own Popular,39,2025-06-24,33.83,4,Gambia
47247,sY005,School Claim,30,2024-01-26,11.84,37,Haiti
93683,zU120,Address Appear,27,2024-09-21,45.58,64,United States Minor Outlying Islands
34190,TN372,Hair Answer,4,2025-03-30,35.56,26,Wallis and Futuna
94019,wZ643,Turn Most,9,2024-11-25,78.46,54,Bermuda
71322,To349,Address Growth,34,2025-07-06,56.58,39,Burkina Faso
61517,Pw168,Deal My,12,2025-08-09,89.28,28,South Africa
72136,uT454,Including Several,30,2024-10-12,43.76,57,Somalia
27569,ZL539,Some Top,4,2025-07-22,77.28,25,Russian Federation
72981,Fc687,Have Note,35,2024-10-09,72.59,28,Faroe Islands
39528,NJ671,Deal Area,26,2025-01-11,85.59,37,Jersey
39400,ex563,Police Very,1,2025-01-30,99.53,76,Netherlands Antilles
20497,KS020,Whole Everyone,43,2025-06-21,29.35,54,Turkmenistan
75146,TQ328,Ball Response,46,2024-03-05,32.38,4,New Caledonia
67222,iJ908,None Own,46,2024-01-31,13.19,41,Botswana
18057,Gl594,Civil Generation,32,2024-10-26,24.6,20,Paraguay
35696,vM534,Organization Heavy,19,2023-10-16,83.09,51,Guadeloupe
35223,ay885,Human Outside,12,2024-05-03,35.41,60,Guyana
88653,ar936,Arm Center,44,2023-12-09,16.06,85,Cambodia
27366,Dc375,Recognize Blue,38,2024-03-19,73.12,39,Equatorial Guinea
44045,lO110,Pm Speech,9,2023-10-03,10.83,16,Belarus
13810,Yq966,Represent Next,28,2023-10-05,50.95,98,New Caledonia
80832,US951,Positive Process,4,2025-06-22,36.38,1,Cook Islands
37062,mr957,Feeling Body,45,2024-01-26,26.65,41,Iran
32570,Nh280,Beyond Find,16,2024-12-09,94.42,47,Nicaragua
61046,nU826,Police Official,6,2023-10-14,54.72,33,Marshall Islands
47522,ZQ443,Single Important,38,2024-10-12,72.73,21,Brunei Darussalam
87560,vl305,Fly Activity,14,2024-06-25,46.01,73,Oman
35588,OX342,Write Necessary,29,2023-11-10,97.33,7,Botswana
16341,hE710,Figure According,2,2024-04-19,3.02,97,Nepal
91382,kS159,Born Long,41,2023-12-11,95.47,60,Uzbekistan
25078,To590,Early Experience,35,2024-05-20,58.08,1,Guatemala
64942,Pj980,Upon Question,36,2024-06-09,33.71,90,Jersey
99751,Ci173,International Table,22,2023-12-30,29.12,78,Congo
43410,jf943,Between Outside,33,2023-11-15,10.83,100,Hungary
18877,YY303,Let Difference,15,2024-09-03,21.0,57,Argentina
80240,pM419,Manager Process,25,2024-01-25,27.12,6,Antarctica (the territory South of 60 deg S)
88173,Cg756,Instead A,49,2025-02-11,25.72,21,Kenya
51422,EU191,Hard Design,2,2023-12-12,21.11,12,Kuwait
14631,Tt185,When Opportunity,6,2023-09-09,97.87,41,Cameroon
39381,YM745,Speech Left,33,2025-07-27,30.65,24,Bolivia
43451,UN148,Analysis Free,17,2025-02-28,60.25,74,Gambia
30656,XG859,Develop Poor,34,2024-07-06,30.34,10,Hong Kong
54493,EQ078,Herself Wrong,44,2024-07-27,13.29,12,Grenada
63844,Uq383,Leg Cost,3,2024-10-13,86.08,66,Israel
61724,Ew127,Teach Draw,11,2024-11-23,31.62,8,Trinidad and Tobago
50359,lC973,Could Light,16,2025-03-25,52.51,72,Mongolia
71995,fy572,Including Should,4,2025-06-12,39.91,40,Thailand
94737,Zl721,Should Community,39,2024-09-25,86.05,70,Mongolia
65033,ce852,Country Girl,2,2025-05-11,93.39,78,Saint Helena
69673,CS147,Role Investment,22,2024-12-20,9.35,59,Cambodia
87530,EF932,Effect Wonder,5,2025-05-31,73.59,71,Madagascar
78795,NQ281,Find Current,29,2023-11-01,17.22,89,Uzbekistan
77964,St090,Make Travel,31,2024-12-14,49.13,5,Cameroon
56112,IM830,Student Real,16,2024-09-16,52.17,91,Algeria
91294,Pr978,Green Star,18,2024-01-02,43.95,5,New Zealand
72588,RR888,Them Example,25,2024-12-08,58.32,23,Uzbekistan
63421,zm684,Make President,19,2023-11-06,98.97,7,Ukraine
10267,qg718,Seek Health,27,2025-02-01,14.31,98,Kenya
75123,QJ548,Those Floor,42,2024-04-18,16.04,84,Nauru
67851,jU386,Similar It,25,2024-05-24,12.33,19,Saint Pierre and Miquelon
97375,iX914,Affect Would,45,2024-08-15,62.39,10,North Macedonia
57849,vg842,Interest Establish,4,2023-10-16,59.19,62,Tanzania
94358,Oz724,Listen Last,41,2024-04-30,51.8,69,Guam
34260,Lk253,College Able,29,2024-05-17,47.07,31,Chile
57914,Ef006,East Appear,37,2024-01-28,80.06,51,Australia
61524,tI640,Give Prove,5,2024-07-24,27.14,49,Jersey
62292,Mh110,South Coach,31,2024-07-19,22.65,46,Comoros
59231,wx511,Compare Start,43,2025-04-15,78.92,92,Haiti
67268,fc814,Civil Fear,16,2025-03-30,67.78,70,Tonga
50900,VL637,Fall Relationship,11,2023-09-14,64.67,35,British Virgin Islands
27158,uM788,Major Happen,35,2024-05-09,87.94,76,Reunion
90002,Ki780,White Trouble,16,2025-06-15,1.08,71,Bahamas
54574,Jq735,Late If,26,2023-12-22,23.79,46,Croatia
40663,CM384,Answer Other,18,2024-06-06,4.58,33,Cyprus
27282,KQ906,Safe Sort,1,2024-07-18,14.41,79,Northern Mariana Islands
85922,Os270,Maintain Blood,28,2024-10-11,85.21,28,Kenya
15938,pW840,Necessary Try,26,2024-04-22,77.8,1,Austria
78072,wu554,Baby Reason,15,2025-03-03,69.55,74,Anguilla
93327,xC533,Action Theory,36,2025-06-09,64.46,2,Saint Martin
43592,Be744,Age Data,45,2025-06-30,47.98,45,New Caledonia
15123,CQ170,Ten Subject,34,2024-04-14,5.22,26,Serbia
80387,kz305,Draw Expert,39,2025-01-17,73.03,9,New Caledonia
34704,lz468,Far This,35,2024-08-01,5.4,32,Saint Barthelemy
91200,hn308,Data Thus,17,2024-01-08,21.37,2,Peru
98176,jg118,Society Yes,14,2025-06-11,32.94,53,Mongolia
78991,yy921,Market Important,7,2024-02-12,27.13,50,Poland
57407,TM232,Score Admit,38,2023-10-14,38.49,5,Sao Tome and Principe
23516,FF674,Usually Too,49,2024-06-02,19.23,35,Belgium
12682,nm724,Growth Public,16,2024-03-14,97.56,79,Nepal
96209,Gs336,Shake Must,33,2023-10-10,57.93,29,Equatorial Guinea
37529,Af891,Response Reason,46,2024-12-19,2.82,82,Burundi
32374,mS040,Either Pay,28,2024-10-27,91.68,59,Guyana
12979,fG447,Energy Throughout,40,2023-12-14,49.86,40,Egypt
38961,bi963,Still Anything,24,2024-03-01,54.99,91,Tonga
75708,Fa542,Rise Similar,7,2024-03-01,81.25,57,Colombia
75096,rS711,Position They,24,2024-05-23,63.92,35,Svalbard & Jan Mayen Islands
81724,Hc165,Good Easy,39,2024-03-23,38.1,50,Niue
12558,fq794,Senior Defense,28,2024-04-19,45.53,78,Singapore
72870,be947,Voice Ask,18,2024-02-13,76.96,67,Kiribati
63746,fw653,Chair High,29,2024-04-04,53.42,21,Bouvet Island (Bouvetoya)
12648,Uv917,Figure Mr,10,2024-02-26,49.34,42,Cuba
19003,Ll278,Production Heart,4,2024-01-19,22.01,29,Vietnam
44024,GV265,Analysis Professor,45,2025-03-12,20.88,83,Azerbaijan
92149,hm354,Short Truth,20,2024-03-01,65.32,17,Bolivia
91999,tg160,Clear Whether,6,2025-03-07,50.53,88,United Arab Emirates
69847,xq585,Guess However,14,2024-01-08,38.61,12,Jordan
42858,EA695,A Both,10,2025-02-16,96.54,50,Micronesia
20465,oA299,Someone Will,37,2024-02-14,65.38,24,Kazakhstan
39240,HC636,Society Matter,7,2025-08-04,71.13,90,Christmas Island
65252,Bb937,Recently Single,24,2024-07-07,38.65,18,Puerto Rico
52044,cd385,Report Very,33,2023-10-01,76.03,26,British Virgin Islands
25252,oF930,General Form,15,2024-02-20,23.75,11,Italy
97483,Of627,Laugh Evidence,38,2024-11-25,76.95,37,Georgia
76486,XN817,State Across,6,2025-06-24,5.0,9,Bolivia
50331,DS659,Check Determine,5,2024-01-10,62.61,63,Cocos (Keeling) Islands
77139,Ex133,Still Person,24,2024-01-10,27.25,59,Cyprus
77114,Ij266,Many Character,47,2024-08-05,75.14,23,Mali
84036,Ue878,Individual Road,19,2023-10-25,18.76,23,Estonia
68735,cT882,Author Realize,1,2025-06-21,78.64,80,Northern Mariana Islands
86164,QU775,Whatever Four,11,2024-12-05,71.82,40,Qatar
37877,Qo256,Their When,22,2023-08-24,63.58,89,Switzerland
38332,QI308,Ten Entire,38,2025-05-07,61.42,87,Pakistan
43618,go834,Thank Magazine,17,2023-11-12,14.61,82,United States Minor Outlying Islands
77478,PO736,Company Pm,21,2023-08-18,9.8,33,Uruguay
24478,dB080,Play Amount,17,2024-08-16,56.02,69,Lithuania
29023,wM091,Others Game,15,2024-07-25,47.27,55,Pitcairn Islands
67613,mC176,Room Trouble,46,2025-04-01,80.07,39,Macao
56321,ux414,Meeting Process,24,2024-07-08,79.72,84,Cayman Islands
71600,rE097,Here Those,1,2023-09-20,30.03,40,Georgia
63436,lm069,Law Cell,43,2025-02-20,66.23,10,Mozambique
22294,va780,Husband Over,3,2024-02-22,63.33,21,Argentina
90311,mb012,General Smile,11,2024-12-31,13.05,52,Morocco
99421,aO231,Nature System,45,2025-04-06,30.19,55,Brazil
46033,GI431,Test Structure,4,2025-02-26,12.23,8,Ireland
57553,ef510,Hold Address,3,2025-06-04,70.94,25,Palau
82346,tK863,Anything Owner,17,2025-08-01,79.01,4,Isle of Man
37565,Sx055,Sister Whole,4,2023-12-24,87.38,40,Guernsey
85333,Nc842,Huge Game,21,2024-09-02,46.63,100,Bhutan
68584,jy170,Win Lot,10,2025-02-16,68.15,36,Libyan Arab Jamahiriya
50259,CH862,Should Than,18,2024-02-07,61.39,6,Isle of Man
59836,pG134,Clear Pull,8,2023-12-24,69.44,44,Georgia
17479,rn157,Fine Throw,4,2025-06-23,96.25,16,Liechtenstein
98559,gH211,Growth Picture,17,2023-10-29,35.18,33,Sao Tome and Principe
41846,wt526,Physical Face,9,2025-07-02,1.99,57,Monaco
29550,ZM416,New Home,1,2024-09-19,94.46,19,Afghanistan
72504,NU702,Prevent Old,15,2024-02-07,67.29,37,United States Virgin Islands
41333,fN157,National Lay,10,2024-03-15,63.74,54,Israel
77865,lj767,Sometimes Industry,30,2025-05-04,70.01,54,Uzbekistan
87296,xM739,Wonder Two,36,2024-09-04,72.98,17,Solomon Islands
66025,lE116,Enjoy Fall,9,2024-01-23,6.08,92,Luxembourg
80280,fm845,With Already,42,2024-03-23,95.54,31,Kyrgyz Republic
88167,JT714,She Player,45,2024-01-30,30.69,22,Moldova
45847,KL689,Star Serious,21,2023-12-05,36.79,88,Svalbard & Jan Mayen Islands
30545,KX350,Interest How,14,2024-10-29,21.69,53,Svalbard & Jan Mayen Islands
22341,iP888,Message Property,11,2025-06-02,4.7,13,Australia
21890,dj339,Letter City,2,2023-12-18,17.78,100,Somalia
